skill,skill_category,company_a,company_b,a_with_skill,a_n,a_share,b_with_skill,b_n,b_share,diff,ci_low,ci_high,p_value,q_value,significant,a_vendor_relation,b_vendor_relation,self_referential
pandas,Data Science Libraries,google,nvidia,17,590,0.0288,22,232,0.0948,-0.066,-0.1119,-0.0304,6.147180048296051e-05,0.00014,True,,,False
Azure,Cloud Platform,google,nvidia,5,590,0.0085,19,232,0.0819,-0.0734,-0.1162,-0.0425,1.827111105300982e-08,0.0,True,,,False
Bash,OS / Shell,google,nvidia,4,590,0.0068,20,232,0.0862,-0.0794,-0.1228,-0.0479,1.143934990775077e-09,0.0,True,,,False
Git,DevOps / Infrastructure,google,nvidia,0,590,0.0,25,232,0.1078,-0.1078,-0.1542,-0.0734,5.60330202578472e-16,0.0,True,,,False
Kafka,Data Engineering,google,nvidia,4,590,0.0068,31,232,0.1336,-0.1268,-0.1768,-0.0875,5.201169448934031e-16,0.0,True,,,False
AWS,Cloud Platform,google,nvidia,5,590,0.0085,32,232,0.1379,-0.1295,-0.18,-0.0894,7.79459682734127e-16,0.0,True,,,False
Docker,DevOps / Infrastructure,google,nvidia,9,590,0.0153,43,232,0.1853,-0.1701,-0.2255,-0.1234,1.9415123707015647e-19,0.0,True,,,False
PyTorch,ML / AI,google,nvidia,18,590,0.0305,49,232,0.2112,-0.1807,-0.2388,-0.1301,1.566126396374584e-17,0.0,True,,,False
Linux,OS / Shell,google,nvidia,49,590,0.0831,66,232,0.2845,-0.2014,-0.2657,-0.1417,6.714165792918645e-14,0.0,True,,,False
Spark,Data Engineering,google,nvidia,36,590,0.061,68,232,0.2931,-0.2321,-0.2959,-0.1729,2.0793185970350162e-19,0.0,True,,,False
Kubernetes,DevOps / Infrastructure,google,nvidia,12,590,0.0203,65,232,0.2802,-0.2598,-0.3215,-0.204,1.2106532539870596e-30,0.0,True,origin,,True
