path,verdict,detail
members/ankit-google/task-05-tables/volume-by-quarter.csv,identical,byte for byte
members/ankit-google/task-05-tables/volume-by-week.csv,identical,byte for byte
members/ankit-google/task-05-trend-report.json,volatile_only,bytes moved; content did not
members/ankit-google/task-06-comparison-report.json,volatile_only,bytes moved; content did not
members/ankit-google/task-06-figures/01-comparability-gate.png,identical,byte for byte
members/ankit-google/task-06-figures/02-volume-index-by-company.png,identical,byte for byte
members/ankit-google/task-06-figures/03-relative-share.png,identical,byte for byte
members/ankit-google/task-06-figures/04-collection-artefact-check.png,identical,byte for byte
members/ankit-google/task-06-figures/05-job-function-mix.png,identical,byte for byte
members/ankit-google/task-06-figures/06-coverage-standardised.png,identical,byte for byte
members/ankit-google/task-06-figures/07-skill-heatmap.png,identical,byte for byte
members/ankit-google/task-06-figures/08-google-distinctiveness.png,identical,byte for byte
members/ankit-google/task-06-figures/09-google-vs-rivals.png,identical,byte for byte
members/ankit-google/task-06-tables/collection-artefact-check.csv,identical,byte for byte
members/ankit-google/task-06-tables/common-panel-by-month.csv,identical,byte for byte
members/ankit-google/task-06-tables/common-publisher-panel.csv,identical,byte for byte
members/ankit-google/task-06-tables/company-comparability.csv,identical,byte for byte
members/ankit-google/task-06-tables/company-feasibility-screen.csv,identical,byte for byte
members/ankit-google/task-06-tables/company-monthly-correlation.csv,identical,byte for byte
members/ankit-google/task-06-tables/competitor-set-manifest.csv,identical,byte for byte
members/ankit-google/task-06-tables/competitor-set-manifest.json,volatile_only,bytes moved; content did not
members/ankit-google/task-06-tables/employer-matching-audit.csv,identical,byte for byte
members/ankit-google/task-06-tables/google-vs-databricks-skill-gaps.csv,identical,byte for byte
members/ankit-google/task-06-tables/google-vs-meta-skill-gaps.csv,identical,byte for byte
members/ankit-google/task-06-tables/google-vs-microsoft-skill-gaps.csv,identical,byte for byte
members/ankit-google/task-06-tables/google-vs-nvidia-skill-gaps.csv,identical,byte for byte
members/ankit-google/task-06-tables/google-vs-snowflake-skill-gaps.csv,identical,byte for byte
members/ankit-google/task-06-tables/half-over-half.csv,identical,byte for byte
members/ankit-google/task-06-tables/job-function-mix-distance.csv,identical,byte for byte
members/ankit-google/task-06-tables/job-function-mix.csv,identical,byte for byte
members/ankit-google/task-06-tables/relative-share-by-half.csv,identical,byte for byte
members/ankit-google/task-06-tables/relative-share-by-publisher.csv,identical,byte for byte
members/ankit-google/task-06-tables/relative-share-verdict.csv,identical,byte for byte
members/ankit-google/task-06-tables/self-reference-audit.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-coverage-standardised.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-distinctiveness-databricks.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-distinctiveness-google.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-distinctiveness-meta.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-distinctiveness-microsoft.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-distinctiveness-nvidia.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-distinctiveness-snowflake.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-panel-robustness.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-share-by-company.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-share-standardised.csv,identical,byte for byte
members/ankit-google/task-06-tables/skill-stratified-verdicts.csv,identical,byte for byte
members/ankit-google/task-06-tables/volume-panel-sensitivity.csv,identical,byte for byte
members/ankit-google/task-06-tables/volume-verdict.csv,identical,byte for byte
members/ankit-google/task-07-figures/01-forecastability-gate.png,identical,byte for byte
members/ankit-google/task-07-figures/02-panel-share-series.png,identical,byte for byte
members/ankit-google/task-07-figures/03-backtest-accuracy.png,identical,byte for byte
members/ankit-google/task-07-figures/04-selection-vs-ranking.png,identical,byte for byte
members/ankit-google/task-07-figures/05-horizon-limits.png,identical,byte for byte
members/ankit-google/task-07-figures/06-levels-vs-shares.png,identical,byte for byte
members/ankit-google/task-07-figures/07-forecast.png,identical,byte for byte
members/ankit-google/task-07-figures/08-february-correction.png,identical,byte for byte
members/ankit-google/task-07-forecast-report.json,volatile_only,bytes moved; content did not
members/ankit-google/task-07-tables/backtest-errors.csv,identical,byte for byte
members/ankit-google/task-07-tables/february-correction.csv,identical,byte for byte
members/ankit-google/task-07-tables/forecast.csv,identical,byte for byte
members/ankit-google/task-07-tables/forecastability-gate.csv,identical,byte for byte
members/ankit-google/task-07-tables/gate-threshold-sensitivity.csv,identical,byte for byte
members/ankit-google/task-07-tables/horizon-limits-all-companies.csv,identical,byte for byte
members/ankit-google/task-07-tables/horizon-limits.csv,identical,byte for byte
members/ankit-google/task-07-tables/interval-coverage.csv,identical,byte for byte
members/ankit-google/task-07-tables/levels-vs-shares.csv,identical,byte for byte
members/ankit-google/task-07-tables/model-accuracy.csv,identical,byte for byte
members/ankit-google/task-07-tables/model-contest.csv,identical,byte for byte
members/ankit-google/task-07-tables/model-selection.csv,identical,byte for byte
members/ankit-google/task-07-tables/panel-share-series.csv,identical,byte for byte
members/ankit-google/task-07-tables/publisher-batch-sensitivity.csv,identical,byte for byte
members/ankit-google/task-07-tables/skill-forecastability-google.csv,identical,byte for byte
members/ankit-google/task-08-figures/01-similarity-heatmap.png,identical,byte for byte
members/ankit-google/task-08-figures/02-calibration.png,identical,byte for byte
members/ankit-google/task-08-figures/03-metric-disagreement.png,identical,byte for byte
members/ankit-google/task-08-figures/04-rank-stability.png,identical,byte for byte
members/ankit-google/task-08-figures/05-vendor-sensitivity.png,identical,byte for byte
members/ankit-google/task-08-figures/06-dendrogram.png,identical,byte for byte
members/ankit-google/task-08-figures/07-network-thresholds.png,identical,byte for byte
members/ankit-google/task-08-figures/08-trajectory-refusal.png,identical,byte for byte
members/ankit-google/task-08-similarity-report.json,volatile_only,bytes moved; content did not
members/ankit-google/task-08-tables/closure-sensitivity.csv,identical,byte for byte
members/ankit-google/task-08-tables/cluster-support.csv,identical,byte for byte
members/ankit-google/task-08-tables/concept-skill-removal.csv,identical,byte for byte
members/ankit-google/task-08-tables/metric-concordance.csv,identical,byte for byte
members/ankit-google/task-08-tables/mix-sensitivity.csv,identical,byte for byte
members/ankit-google/task-08-tables/network-thresholds.csv,identical,byte for byte
members/ankit-google/task-08-tables/numerator-contribution.csv,identical,byte for byte
members/ankit-google/task-08-tables/pair-verdicts.csv,identical,byte for byte
members/ankit-google/task-08-tables/similarity-bootstrap.csv,identical,byte for byte
members/ankit-google/task-08-tables/similarity-calibration.csv,identical,byte for byte
members/ankit-google/task-08-tables/similarity-matrix-cosine.csv,identical,byte for byte
members/ankit-google/task-08-tables/similarity-pairs.csv,identical,byte for byte
members/ankit-google/task-08-tables/skill-profiles.csv,identical,byte for byte
members/ankit-google/task-08-tables/support-sensitivity.csv,identical,byte for byte
members/ankit-google/task-08-tables/trajectory-similarity.csv,identical,byte for byte
members/ankit-google/task-08-tables/vendor-sensitivity.csv,identical,byte for byte
members/ankit-google/task-09-figures/01-insight-yield.png,identical,byte for byte
members/ankit-google/task-09-figures/02-gate-attrition.png,identical,byte for byte
members/ankit-google/task-09-figures/03-audience-reach.png,identical,byte for byte
members/ankit-google/task-09-figures/04-publisher-cell-floor.png,identical,byte for byte
members/ankit-google/task-09-figures/05-salary-missingness.png,identical,byte for byte
members/ankit-google/task-09-figures/06-brief-promises.png,identical,byte for byte
members/ankit-google/task-09-figures/07-claim-provenance.png,identical,byte for byte
members/ankit-google/task-09-figures/08-refusal-ledger.png,identical,byte for byte
members/ankit-google/task-09-insight-report.json,volatile_only,bytes moved; content did not
members/ankit-google/task-09-tables/actionability.csv,identical,byte for byte
members/ankit-google/task-09-tables/audience-brief-exec.csv,identical,byte for byte
members/ankit-google/task-09-tables/audience-brief-hr_talent.csv,identical,byte for byte
members/ankit-google/task-09-tables/audience-brief-product.csv,identical,byte for byte
members/ankit-google/task-09-tables/audience-brief-strategy.csv,identical,byte for byte
members/ankit-google/task-09-tables/brief-promises.csv,identical,byte for byte
members/ankit-google/task-09-tables/claim-ledger.csv,identical,byte for byte
members/ankit-google/task-09-tables/claim-provenance.csv,identical,byte for byte
members/ankit-google/task-09-tables/cross-task-conflicts.csv,identical,byte for byte
members/ankit-google/task-09-tables/evidence-bindings.csv,identical,byte for byte
members/ankit-google/task-09-tables/falsifiers.csv,identical,byte for byte
members/ankit-google/task-09-tables/insight-yield.csv,identical,byte for byte
members/ankit-google/task-09-tables/lint-audit.csv,identical,byte for byte
members/ankit-google/task-09-tables/prohibited-patterns.csv,identical,byte for byte
members/ankit-google/task-09-tables/publisher-cell-floor.csv,identical,byte for byte
members/ankit-google/task-09-tables/question-coverage.csv,identical,byte for byte
members/ankit-google/task-09-tables/refused-claims.csv,identical,byte for byte
members/ankit-google/task-09-tables/salary-disclosure-by-publisher.csv,identical,byte for byte
members/ankit-google/task-09-tables/salary-disclosure.csv,identical,byte for byte
members/ankit-google/task-09-tables/salary-feasible-cells.csv,identical,byte for byte
members/ankit-google/task-09-tables/salary-pairs-stratified.csv,identical,byte for byte
members/ankit-google/task-09-tables/salary-pairs.csv,identical,byte for byte
members/ankit-google/task-09-tables/sign-test-power.csv,identical,byte for byte
members/ankit-google/task-09-tables/strategy-position.csv,identical,byte for byte
members/ankit-google/task-09-tables/unanimity-verdict.csv,identical,byte for byte
members/ankit-google/task-10-figures/01-deck-provenance.png,identical,byte for byte
members/ankit-google/task-10-figures/02-answer-shape.png,identical,byte for byte
members/ankit-google/task-10-figures/03-workspace-audit.png,changed,content differs
members/ankit-google/task-10-figures/04-ledger-coverage.png,identical,byte for byte
members/ankit-google/task-10-figures/05-slide-density.png,identical,byte for byte
members/ankit-google/task-10-figures/06-refusal-coverage.png,identical,byte for byte
members/ankit-google/task-10-figures/07-suite-growth.png,changed,content differs
members/ankit-google/task-10-figures/08-section-order.png,identical,byte for byte
members/ankit-google/task-10-presentation-report.json,changed,content differs
members/ankit-google/task-10-slides.md,changed,content differs
members/ankit-google/task-10-tables/deck-bullets.csv,changed,content differs
members/ankit-google/task-10-tables/deck-facts.csv,changed,content differs
members/ankit-google/task-10-tables/deck-lint.csv,identical,byte for byte
members/ankit-google/task-10-tables/deck-sections.csv,identical,byte for byte
members/ankit-google/task-10-tables/deck-slides.csv,identical,byte for byte
members/ankit-google/task-10-tables/mentor-qa.csv,changed,content differs
members/ankit-google/task-10-tables/qa-lint.csv,identical,byte for byte
members/ankit-google/task-10-tables/qa-shape.csv,identical,byte for byte
members/ankit-google/task-10-tables/refusal-coverage.csv,identical,byte for byte
members/ankit-google/task-10-tables/suite-growth.csv,identical,byte for byte
members/ankit-google/task-10-tables/workspace-audit.csv,changed,content differs
members/ankit-google/task-11-figures/deck-fact-drift.png,identical,byte for byte
members/ankit-google/task-11-figures/pipeline-checks.png,identical,byte for byte
members/ankit-google/task-11-figures/pipeline-dag.png,identical,byte for byte
members/ankit-google/task-11-figures/pipeline-run.png,identical,byte for byte
members/ankit-google/task-11-figures/source-refreshability.png,identical,byte for byte
members/ankit-google/task-11-pipeline-report.json,identical,byte for byte
members/ankit-google/task-11-tables/deck-fact-drift.csv,identical,byte for byte
members/ankit-google/task-11-tables/pipeline-audit.csv,identical,byte for byte
members/ankit-google/task-11-tables/pipeline-contested-artefacts.csv,identical,byte for byte
members/ankit-google/task-11-tables/pipeline-dag-edges.csv,identical,byte for byte
members/ankit-google/task-11-tables/pipeline-failure-modes.csv,identical,byte for byte
members/ankit-google/task-11-tables/pipeline-lint.csv,identical,byte for byte
members/ankit-google/task-11-tables/pipeline-stages.csv,identical,byte for byte
members/ankit-google/task-11-tables/reproducibility-audit.csv,identical,byte for byte
members/ankit-google/task-11-tables/run-ledger.csv,identical,byte for byte
members/ankit-google/task-11-tables/schedule-rationale.csv,identical,byte for byte
members/ankit-google/task-11-tables/source-refreshability.csv,identical,byte for byte
