claim_id,table,column,selector,quoted,table_value,bound,detail
skillgap-linux-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Linux,company_a=google,company_b=microsoft",0.0331,0.0331,True,0.0331 == 0.0331
skillgap-angular-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Angular,company_a=google,company_b=microsoft",-0.0172,-0.0172,True,-0.0172 == -0.0172
skillgap-github-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=GitHub,company_a=google,company_b=microsoft",-0.0134,-0.0134,True,-0.0134 == -0.0134
skillgap-mysql-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=MySQL,company_a=google,company_b=microsoft",-0.0178,-0.0178,True,-0.0178 == -0.0178
skillgap-scikit-learn-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=scikit-learn,company_a=google,company_b=microsoft",-0.0216,-0.0216,True,-0.0216 == -0.0216
skillgap-powerpoint-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=PowerPoint,company_a=google,company_b=microsoft",-0.0203,-0.0203,True,-0.0203 == -0.0203
skillgap-ruby-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Ruby,company_a=google,company_b=microsoft",-0.0206,-0.0206,True,-0.0206 == -0.0206
skillgap-cassandra-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Cassandra,company_a=google,company_b=microsoft",-0.0209,-0.0209,True,-0.0209 == -0.0209
skillgap-git-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Git,company_a=google,company_b=microsoft",-0.0223,-0.0223,True,-0.0223 == -0.0223
skillgap-redis-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Redis,company_a=google,company_b=microsoft",-0.0247,-0.0247,True,-0.0247 == -0.0247
skillgap-microsoft-word-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Microsoft Word,company_a=google,company_b=microsoft",-0.0253,-0.0253,True,-0.0253 == -0.0253
skillgap-perl-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Perl,company_a=google,company_b=microsoft",-0.0318,-0.0318,True,-0.0318 == -0.0318
skillgap-postgresql-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=PostgreSQL,company_a=google,company_b=microsoft",-0.0304,-0.0304,True,-0.0304 == -0.0304
skillgap-kafka-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Kafka,company_a=google,company_b=microsoft",-0.0337,-0.0337,True,-0.0337 == -0.0337
skillgap-powershell-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=PowerShell,company_a=google,company_b=microsoft",-0.0345,-0.0345,True,-0.0345 == -0.0345
skillgap-css-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=CSS,company_a=google,company_b=microsoft",-0.0347,-0.0347,True,-0.0347 == -0.0347
skillgap-microsoft-outlook-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Microsoft Outlook,company_a=google,company_b=microsoft",-0.0354,-0.0354,True,-0.0354 == -0.0354
skillgap-react-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=React,company_a=google,company_b=microsoft",-0.0367,-0.0367,True,-0.0367 == -0.0367
skillgap-docker-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Docker,company_a=google,company_b=microsoft",-0.0333,-0.0333,True,-0.0333 == -0.0333
skillgap-sql-server-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SQL Server,company_a=google,company_b=microsoft",-0.0456,-0.0456,True,-0.0456 == -0.0456
skillgap-sharepoint-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=SharePoint,company_a=google,company_b=microsoft",-0.0507,-0.0507,True,-0.0507 == -0.0507
skillgap-pytorch-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=PyTorch,company_a=google,company_b=microsoft",-0.0544,-0.0544,True,-0.0544 == -0.0544
skillgap-kubernetes-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Kubernetes,company_a=google,company_b=microsoft",-0.0545,-0.0545,True,-0.0545 == -0.0545
skillgap-hadoop-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Hadoop,company_a=google,company_b=microsoft",-0.0611,-0.0611,True,-0.0611 == -0.0611
skillgap-excel-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Excel,company_a=google,company_b=microsoft",-0.0654,-0.0654,True,-0.0654 == -0.0654
skillgap-aws-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=AWS,company_a=google,company_b=microsoft",-0.0807,-0.0807,True,-0.0807 == -0.0807
skillgap-databricks-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Databricks,company_a=google,company_b=microsoft",-0.1359,-0.1359,True,-0.1359 == -0.1359
skillgap-windows-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Windows,company_a=google,company_b=microsoft",-0.1355,-0.1355,True,-0.1355 == -0.1355
skillgap-power-bi-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Power BI,company_a=google,company_b=microsoft",-0.1659,-0.1659,True,-0.1659 == -0.1659
skillgap-spark-google-microsoft,task-06-tables/skill-stratified-verdicts.csv,pooled_diff,"skill=Spark,company_a=google,company_b=microsoft",-0.2265,-0.2265,True,-0.2265 == -0.2265
